date,降水量,平均気温,平均湿度,平均風速,Unnamed: 16,昼の天気,夜の天気
2024-04-01,3.0,14.6,73,2.8,3.8,曇時々雨一時晴,快晴
2024-04-02,--,14.2,50,3.0,10.6,晴後薄曇,曇
2024-04-03,11.5,13.9,83,1.6,0.0,雨時々曇,雨時々曇
2024-04-04,4.0,15.4,79,2.0,0.1,曇一時雨,曇後一時雨
2024-04-05,0.5,11.4,71,2.8,0.0,曇時々雨,曇時々雨
2024-04-06,0.0,12.7,81,1.8,0.0,曇,曇時々雨
2024-04-07,1.5,17.0,83,2.1,8.2,薄曇時々晴一時雨,曇
2024-04-08,0.0,18.8,85,2.0,2.3,曇後雨,曇時々雨
2024-04-09,55.5,15.6,78,4.4,0.0,大雨一時曇,曇一時晴
2024-04-10,--,11.7,47,3.2,11.9,晴,晴一時薄曇
2024-04-11,--,14.0,62,2.5,9.3,晴後薄曇,曇
2024-04-12,2.5,15.0,73,2.3,1.8,曇一時雨,晴
2024-04-13,--,16.4,68,2.3,10.5,薄曇時々晴,薄曇後晴
2024-04-14,--,18.0,66,2.2,11.5,快晴,晴一時薄曇
2024-04-15,--,19.4,65,2.8,11.4,晴後薄曇,薄曇時々晴
2024-04-16,--,19.2,66,5.3,6.5,晴一時曇,晴後曇一時雨
2024-04-17,0.0,20.1,70,3.0,5.5,晴時々曇,曇時々晴
2024-04-18,1.5,17.9,67,2.7,0.3,曇後一時雨,雨後曇
2024-04-19,0.0,18.3,46,5.6,11.6,晴一時薄曇,晴
2024-04-20,--,19.4,48,2.5,8.9,曇,曇
2024-04-21,5.0,18.4,67,2.6,2.2,曇後一時雨,雨
2024-04-22,7.0,15.6,89,2.2,0.1,曇時々雨,曇後一時晴
2024-04-23,0.0,16.9,82,2.1,0.5,曇,曇後一時雨
2024-04-24,20.5,15.0,94,2.1,0.0,雨,雨後曇
2024-04-25,0.5,19.5,78,2.2,9.8,晴一時曇,晴後一時薄曇
2024-04-26,--,20.3,72,2.4,2.5,曇,曇後一時雨
2024-04-27,0.0,19.5,84,1.9,0.0,雨後曇,曇後晴
2024-04-28,--,21.6,71,2.7,11.5,晴後一時薄曇,薄曇
2024-04-29,0.0,21.2,80,3.7,8.0,曇,曇後時々雨
2024-04-30,2.5,20.9,84,2.4,1.5,曇一時雨,曇
2024-05-01,26.5,16.5,92,3.0,0.0,雨一時曇,雨
2024-05-02,3.0,15.3,70,2.9,7.7,晴時々曇,晴
2024-05-03,--,17.7,63,2.6,12.4,快晴,快晴
2024-05-04,--,20.9,57,2.4,12.4,快晴,快晴
2024-05-05,--,21.5,65,3.8,12.6,晴,晴後一時薄曇
2024-05-06,0.0,20.9,68,5.7,0.9,曇後一時雨,曇後時々雨
2024-05-07,5.0,20.0,88,4.1,0.0,雨後時々曇,曇後一時晴
2024-05-08,8.0,17.8,83,2.8,1.3,曇後時々雨,雨
2024-05-09,1.5,13.7,70,2.5,5.8,雨時々曇後晴,晴
2024-05-10,--,17.5,50,3.5,12.8,晴,晴
2024-05-11,--,20.3,61,5.4,13.0,晴,晴後一時薄曇
2024-05-12,--,21.1,65,4.8,3.7,曇,曇後雨
2024-05-13,58.5,19.3,96,3.8,0.0,雨,雨後曇
2024-05-14,0.0,16.9,71,2.6,8.2,曇後晴,晴後薄曇
2024-05-15,1.5,19.4,76,2.7,8.6,薄曇,雨一時曇
2024-05-16,10.0,18.7,79,4.0,5.1,晴時々曇一時雨,快晴
2024-05-17,--,20.6,50,2.8,12.9,晴一時薄曇,快晴
2024-05-18,--,21.9,59,2.5,12.5,晴後一時薄曇,薄曇
2024-05-19,0.0,20.8,75,1.8,0.0,曇後時々雨,雨時々曇
2024-05-20,34.0,17.4,92,1.9,0.8,雨後曇,薄曇
2024-05-21,0.0,22.5,74,2.8,7.9,薄曇,曇時々雨
2024-05-22,0.0,20.6,61,3.5,6.5,薄曇一時晴,薄曇
2024-05-23,--,21.4,75,3.0,1.8,曇,薄曇
2024-05-24,--,23.3,67,2.5,9.3,薄曇後一時晴,曇一時晴
2024-05-25,--,21.4,52,3.3,6.7,晴時々曇,曇時々晴
2024-05-26,--,21.6,63,3.6,8.7,晴時々薄曇,晴時々薄曇
2024-05-27,0.0,22.3,84,4.3,0.4,曇時々雨,曇後一時晴
2024-05-28,19.0,24.0,91,5.2,0.1,雨時々曇,雨時々曇
2024-05-29,0.5,22.0,71,3.7,7.9,曇後晴,晴
2024-05-30,0.0,22.5,73,3.0,5.4,晴後曇,曇時々雨
2024-05-31,34.0,19.0,90,2.1,0.1,雨後曇,曇時々雨
2024-06-01,0.0,20.9,75,2.6,7.0,曇,薄曇一時晴後雨
2024-06-02,45.5,18.7,88,2.3,2.9,大雨時々曇、雷を伴う,雨時々曇
2024-06-03,25.5,18.3,88,2.2,2.4,曇時々雨後一時晴、雷を伴う,雨後晴、雷を伴う
2024-06-04,--,19.5,75,2.5,7.8,晴,曇時々晴
2024-06-05,--,21.4,64,2.7,11.9,快晴,晴後一時曇
2024-06-06,--,22.0,72,3.0,3.8,曇,薄曇後一時晴
2024-06-07,--,22.1,67,2.7,5.1,晴時々曇,晴後一時薄曇
2024-06-08,--,22.8,66,2.7,11.8,晴後薄曇,薄曇時々晴
2024-06-09,0.5,22.4,76,3.6,0.2,曇後一時雨,雨時々曇
2024-06-10,17.0,20.7,85,2.4,0.7,曇時々雨,曇後一時晴
2024-06-11,--,24.0,73,3.2,12.8,晴時々薄曇,晴時々薄曇
2024-06-12,0.0,24.6,74,3.1,10.4,薄曇後晴,晴後曇
2024-06-13,--,22.6,81,2.0,1.6,曇後一時晴,晴
2024-06-14,--,25.9,67,2.7 ),12.7,快晴,晴後一時薄曇
2024-06-15,0.5,24.8,75,2.8,8.0,薄曇,雨時々曇
2024-06-16,5.5,23.7,86,2.5,6.8,曇一時雨後晴,薄曇時々晴
2024-06-17,0.0,26.0,75,2.1,4.6,曇,雨時々曇
2024-06-18,98.0,19.2,100,2.0,0.0,大雨,曇時々晴一時雨
2024-06-19,--,23.5,72,2.7,13.3,晴,晴後一時薄曇
2024-06-20,--,24.4,75,3.2,6.2,薄曇,晴時々薄曇
2024-06-21,44.0,20.1,94,2.8,0.0,大雨,晴一時曇
2024-06-22,0.0,23.9,67,3.3,8.5,薄曇時々晴,雨時々曇
2024-06-23,29.5,21.6,95,2.3,0.1,雨時々曇,曇一時雨
2024-06-24,--,26.7,81,2.1,6.5,晴時々薄曇,曇後一時晴
2024-06-25,0.0,27.8,76,2.0,1.3,曇,曇
2024-06-26,0.0,26.9,73,2.6,2.4,曇,曇
2024-06-27,0.0,25.4,70,3.2,5.1,曇一時晴,曇時々雨一時晴
2024-06-28,82.5,22.0,98,1.9,0.0,大雨,雨時々曇
2024-06-29,0.0,23.7,87,2.0,3.8,曇後晴,晴後曇
2024-06-30,1.5,25.9,84,3.8,0.4,曇後雨,雨時々曇一時晴
2024-07-01,12.5,26.3,89,4.8,0.1,雨後一時曇,曇一時雨
2024-07-02,0.0,27.3,80,2.3,2.2,曇,曇後一時雨
2024-07-03,0.0,27.7,77,2.6,7.2,薄曇時々晴,晴時々薄曇
2024-07-04,--,29.3,75,2.7,9.1,晴後一時曇,快晴
2024-07-05,--,30.2,70,2.7,13.2,快晴,晴時々曇
2024-07-06,36.0,28.1,84,2.1,7.5,薄曇後一時大雨、雷を伴う,曇時々晴一時雨、雷を伴う
2024-07-07,--,28.9,84,2.1,9.9,薄曇一時晴,薄曇時々晴
2024-07-08,--,30.9,73,2.3,11.3,薄曇後晴,晴時々薄曇
2024-07-09,0.0,30.1,72,2.8,6.4,曇時々雨一時晴,晴時々曇一時雨
2024-07-10,0.0,29.5,70,3.7,4.3,曇,曇一時雨
2024-07-11,0.5,27.8,77,4.0,0.0,曇時々雨,曇後一時雨
2024-07-12,13.5,24.4,93,1.8,0.0,雨,雨後曇
2024-07-13,0.0,26.2,82,2.7,7.0,薄曇後一時雨,雨時々曇
2024-07-14,12.5,25.4,95,1.8,0.4,曇時々雨,曇
2024-07-15,0.5,24.6,87,2.4,0.4,曇一時雨,曇後一時雨
2024-07-16,11.5,23.9,90,1.8,0.1,雨時々曇,雨時々曇
2024-07-17,1.0,25.8,87,1.7,2.9,曇,曇
2024-07-18,0.0,28.4,77,2.3,7.4,薄曇後一時晴,曇
2024-07-19,--,30.0,72,3.0,5.2,曇後一時晴,曇後晴
2024-07-20,45.0,30.7,76,2.6,10.2,晴後曇,大雨時々曇、雷を伴う
2024-07-21,20.0,29.1,79,2.7,11.0,晴時々薄曇,晴
2024-07-22,9.5,30.5,75,2.6,10.4,晴後一時薄曇、雷を伴う,曇一時雨後晴、雷を伴う
2024-07-23,--,29.5,82,2.9,13.0,快晴,晴後一時薄曇
2024-07-24,0.0,30.1,69,2.2,8.5,曇時々晴、雷を伴う,薄曇
2024-07-25,0.5,30.2,72,2.4,7.1,晴時々薄曇一時雨,薄曇時々晴後一時雨、雷を伴う
2024-07-26,0.0,30.1,73,2.4,6.9,薄曇,曇一時雨
2024-07-27,0.5,30.3,76,1.9,7.1,薄曇後一時雨,薄曇時々晴一時雨
2024-07-28,--,31.6,67,2.1,10.5,薄曇,薄曇一時晴
2024-07-29,--,32.3,61,3.1,10.7,薄曇後一時晴,晴
2024-07-30,0.5,30.8,68,2.3,4.0,曇時々晴後一時雨,曇
2024-07-31,42.5,29.4,77,2.7,5.6,曇後一時雨,曇一時大雨後時々晴、雷を伴う
2024-08-01,--,28.5,74,2.4,9.3,薄曇一時晴,曇時々晴
2024-08-02,--,28.7,74,2.6,6.0,曇後晴,曇時々晴
2024-08-03,--,29.4,73,2.6,8.9,晴一時曇,晴後一時曇
2024-08-04,--,30.0,67,2.5,10.0,晴,晴
2024-08-05,--,30.0,72,2.6,7.8,薄曇一時晴,曇一時晴
2024-08-06,--,29.9,74,2.3,1.8,曇,曇、雷を伴う
2024-08-07,76.5,28.9,80,2.6,4.6,薄曇後一時晴,大雨時々曇、雷を伴う
2024-08-08,0.0,28.1,87,2.2,4.0,晴時々曇,晴
2024-08-09,--,30.0,74,2.7,8.6,晴一時曇,晴一時曇
2024-08-10,--,30.0,69,2.7,8.6,晴後薄曇,晴時々曇
2024-08-11,--,31.5,66,2.8,10.7,晴後薄曇,晴
2024-08-12,--,31.2,70,3.9,11.6,晴,晴
2024-08-13,--,30.8,73,3.6,10.4,晴,晴一時曇
2024-08-14,0.0,30.4,74,2.7,4.9,晴,晴時々曇
2024-08-15,0.0,30.3,75,2.7,6.7,晴時々薄曇,曇後雨
2024-08-16,90.0,26.7,95,4.2,0.0,大雨、雷を伴う,雨後曇
2024-08-17,0.0,30.4,74,2.7,8.5,晴後一時雨,晴後曇
